date_sign_up,customer_id,product_name,marketing_channel,City
4/13/2015 10:56,216141,Classic - 3 meals per week for 2 people,Newsletters (internal),Chicago
4/13/2015 11:00,216146,Classic - 3 meals per week for 2 people,TV / Radio Advertising,Chicago
4/13/2015 11:21,216171,Classic - 3 meals per week for 2 people,TV / Radio Advertising,Chicago
4/13/2015 11:43,216213,Classic - 3 meals per week for 2 people,TV / Radio Advertising,Chicago
4/13/2015 11:46,216218,Classic - 3 meals per week for 2 people,Partnership Marketing,Chicago
4/13/2015 11:52,216226,Classic - 3 meals per week for 2 people,Search Engine Marketing,Chicago
4/13/2015 12:38,216327,Classic - 3 meals per week for 2 people,Search Engine Marketing,Chicago
4/13/2015 12:40,216331,Classic - 3 meals per week for 2 people,TV / Radio Advertising,Chicago
4/13/2015 13:11,216401,Classic - 3 meals per week for 2 people,Search Engine Marketing,Chicago
4/13/2015 13:17,216422,Classic - 3 meals per week for 2 people,Newsletters (internal),Chicago
4/13/2015 13:30,216453,Classic - 3 meals per week for 2 people,Newsletters (internal),Chicago
4/13/2015 13:34,216463,Classic - 3 meals per week for 2 people,Newsletters (internal),Chicago
4/13/2015 13:39,216466,Classic - 3 meals per week for 2 people,Partnership Marketing,Chicago
4/13/2015 13:44,216479,Classic - 3 meals per week for 2 people,Newsletters (internal),Chicago
4/13/2015 14:12,216487,Classic - 3 meals per week for 2 people,Newsletters (internal),Chicago
4/13/2015 13:56,216509,Classic - 3 meals per week for 2 people,Partnership Marketing,Chicago
4/13/2015 14:21,216561,Classic - 3 meals per week for 2 people,Search Engine Marketing,Washington
4/13/2015 14:23,216563,Classic - 3 meals per week for 2 people,Newsletters (internal),Washington
4/13/2015 14:33,216587,Classic - 3 meals per week for 2 people,TV / Radio Advertising,Washington
4/13/2015 14:50,216617,3 Meals (vegetarian) for 4 people,Newsletters (internal),Washington
4/13/2015 15:38,216669,Classic - 3 meals per week for 4 people,Newsletters (internal),Washington
4/13/2015 15:35,216702,Classic - 3 meals per week for 2 people,TV / Radio Advertising,Washington
4/13/2015 15:35,216703,Classic - 3 meals per week for 2 people,Search Engine Marketing,Washington
4/13/2015 15:40,216709,Classic - 3 meals per week for 2 people,TV / Radio Advertising,Washington
4/13/2015 15:42,216712,3 Meals (vegetarian) for 2 people,Newsletters (internal),Washington
4/13/2015 15:45,216718,Classic - 3 meals per week for 2 people,Search Engine Marketing,Washington
4/13/2015 15:46,216721,3 Meals (vegetarian) for 2 people,Newsletters (internal),Washington
4/13/2015 15:52,216734,Classic - 3 meals per week for 2 people,TV / Radio Advertising,Washington
4/13/2015 15:53,216735,Classic - 3 meals per week for 2 people,TV / Radio Advertising,Washington
4/13/2015 16:17,216782,3 Meals (vegetarian) for 2 people,TV / Radio Advertising,Washington
4/13/2015 16:53,216799,Classic - 3 meals per week for 2 people,Newsletters (internal),Washington
4/13/2015 16:36,216808,Classic - 3 meals per week for 2 people,Partnership Marketing,Washington
4/13/2015 16:57,216833,Classic - 3 meals per week for 2 people,Search Engine Marketing,Washington
4/13/2015 17:02,216850,Classic - 3 meals per week for 2 people,Partnership Marketing,Washington
4/13/2015 17:14,216853,Classic - 3 meals per week for 2 people,Newsletters (internal),Washington
4/13/2015 17:05,216858,Classic - 3 meals per week for 2 people,Newsletters (internal),Washington
4/13/2015 17:36,216897,3 Meals (vegetarian) for 2 people,Search Engine Marketing,Washington
4/13/2015 17:44,216922,Classic - 3 meals per week for 2 people,TV / Radio Advertising,Washington
4/13/2015 17:46,216938,Classic - 3 meals per week for 4 people,TV / Radio Advertising,Washington
4/13/2015 18:08,216946,Classic - 3 meals per week for 2 people,TV / Radio Advertising,Washington
4/13/2015 17:56,216949,Classic - 3 meals per week for 2 people,TV / Radio Advertising,Washington
4/13/2015 17:58,216960,Classic - 3 meals per week for 4 people,Partnership Marketing,Washington
4/13/2015 17:59,216962,Classic - 3 meals per week for 2 people,Newsletters (internal),Washington
4/13/2015 18:14,216977,Classic - 3 meals per week for 2 people,Newsletters (internal),Washington
4/13/2015 18:31,217010,Classic - 3 meals per week for 4 people,Newsletters (internal),Washington
4/13/2015 18:27,217020,Classic - 3 meals per week for 2 people,Newsletters (internal),Washington
4/13/2015 18:53,217076,Classic - 3 meals per week for 2 people,TV / Radio Advertising,Washington
4/13/2015 18:56,217081,3 Meals (vegetarian) for 2 people,Newsletters (internal),Washington
4/13/2015 19:17,217111,Classic - 3 meals per week for 2 people,Newsletters (internal),Washington
4/13/2015 19:33,217134,3 Meals (vegetarian) for 4 people,Search Engine Marketing,Washington
4/13/2015 19:44,217141,3 Meals (vegetarian) for 2 people,TV / Radio Advertising,Washington
4/13/2015 20:03,217145,Classic - 3 meals per week for 2 people,Search Engine Marketing,Washington
4/13/2015 19:47,217153,Classic - 3 meals per week for 2 people,TV / Radio Advertising,Washington
4/13/2015 19:48,217157,Classic - 3 meals per week for 4 people,Newsletters (internal),Washington
4/13/2015 19:49,217161,3 Meals (vegetarian) for 2 people,Newsletters (internal),Washington
4/15/2015 13:26,217179,Classic - 3 meals per week for 2 people,Newsletters (internal),Philadelphia
4/13/2015 20:06,217186,Classic - 3 meals per week for 2 people,TV / Radio Advertising,Washington
4/13/2015 20:21,217211,Classic - 3 meals per week for 2 people,Search Engine Marketing,Washington
